url,score,len_url,is_https,is_private_ip,domain_age,is_sensitive_form,has_redirect,has_script,has_privacy,has_contact,age_of_domain,is_vietnam
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://dangkytinchi.hvtc.edu.vn/,109,33,1,0,8210,0,0,0,0,0,8210,1
https://dangkytinchi.hvtc.edu.vn/,109,33,1,0,8210,0,0,0,0,0,8210,1
https://dangkytinchi.hvtc.edu.vn/,109,33,1,0,8210,0,0,0,0,0,8210,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,84,23,1,1,0,0,0,0,0,0,0,0
https://www.24h.com.vn/,84,23,1,1,0,0,0,0,0,0,0,0
https://www.24h.com.vn/,84,23,1,1,0,0,0,0,0,0,0,0
https://www.24h.com.vn/,84,23,1,1,0,0,0,0,0,0,0,0
https://chatgpt.com/,62,20,1,0,896,0,1,0,0,0,896,2
https://chatgpt.com/,66,20,1,0,896,0,1,0,0,0,896,2
https://chatgpt.com/,66,20,1,0,896,0,1,0,0,0,896,2
https://chatgpt.com/,61,20,1,0,896,0,1,0,0,0,896,2
https://tinnhiemmang.vn/,106,24,1,0,1853,0,0,0,0,0,1853,1
https://tinnhiemmang.vn/,106,24,1,0,1853,0,0,0,0,0,1853,1
https://www.youtube.com/?app,54,28,1,0,7393,0,1,0,0,1,7393,2
https://www.youtube.com/?app,54,28,1,0,7393,0,1,0,0,1,7393,2
https://tinnhiemmang.vn/,106,24,1,0,1853,0,0,0,0,0,1853,1
https://chatgpt.com/,66,20,1,0,896,0,1,0,0,0,896,2
https://chatgpt.com/,66,20,1,0,896,0,1,0,0,0,896,2
https://chatgpt.com/,62,20,1,0,896,0,1,0,0,0,896,2
https://chatgpt.com/,62,20,1,0,896,0,1,0,0,0,896,2
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn,95,22,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://24h.com.vn,97,18,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://whois.inet.vn/api/whois/domainspecify/https://www.24h.com.vn/,69,69,1,0,6862,0,0,0,0,0,6862,2
https://whois.inet.vn/api/whois/domainspecify/https://www.24h.com.vn,69,68,1,0,6862,0,0,0,0,0,6862,2
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://whois.inet.vn/api/whois/domainspecify/24h.com.vn,69,56,1,0,6862,0,0,0,0,0,6862,2
https://whois.inet.vn/api/whois/domainspecify/24h.com.vn,69,56,1,0,6862,0,0,0,0,0,6862,2
https://whois.inet.vn/api/whois/domainspecify/24h.com.vn,69,56,1,0,6862,0,0,0,0,0,6862,2
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://whois.inet.vn/api/whois/domainspecify/24h.com.vn,69,56,1,0,6862,0,0,0,0,0,6862,2
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
https://www.24h.com.vn/,95,23,1,0,7688,0,1,1,0,0,7688,1
